Time, nFrame,relativeTime,bodyIndex(str),bodyIndex,X,Y,Z,state
18_37_41_0406, 1,0,SpineBase,0,-0.597989,-0.425268,1.159122,2
18_37_41_0406, 1,0,SpineMid,1,-0.689640,-0.119412,1.266347,2
18_37_41_0406, 1,0,Neck,2,-0.770447,0.167884,1.356650,2
18_37_41_0406, 1,0,Head,3,-0.862864,0.241175,1.449440,2
18_37_41_0406, 1,0,ShoulderLeft,4,-0.818210,0.097842,1.258650,2
18_37_41_0406, 1,0,ElbowLeft,5,-0.748253,-0.097869,1.097236,2
18_37_41_0406, 1,0,WristLeft,6,-0.681415,-0.063052,0.902740,1
18_37_41_0406, 1,0,HandLeft,7,-0.686133,-0.117569,0.848113,1
18_37_41_0406, 1,0,ShoulderRight,8,-0.681974,0.151340,1.448689,1
18_37_41_0406, 1,0,ElbowRight,9,-0.660191,-0.001353,1.210926,1
18_37_41_0406, 1,0,WristRight,10,-0.447474,-0.167185,1.152368,2
18_37_41_0406, 1,0,HandRight,11,-0.386245,-0.225329,1.130257,2
18_37_41_0406, 1,0,HipLeft,12,-0.648278,-0.421992,1.093784,2
18_37_41_0406, 1,0,KneeLeft,13,-0.562265,-0.152089,0.907940,2
18_37_41_0406, 1,0,AnkleLeft,14,-0.479484,-0.662498,0.849032,1
18_37_41_0406, 1,0,FootLeft,15,-0.514121,-0.581498,0.909162,1
18_37_41_0406, 1,0,HipRight,16,-0.512705,-0.404269,1.158735,2
18_37_41_0406, 1,0,KneeRight,17,-0.396760,-0.184478,0.925797,2
18_37_41_0406, 1,0,AnkleRight,18,-0.574504,-0.634966,1.200197,2
18_37_41_0406, 1,0,FootRight,19,-0.563782,-0.703159,1.150962,1
18_37_41_0406, 1,0,SpineShoulder,20,-0.751749,0.098064,1.336528,2
18_37_41_0406, 1,0,HandTipLeft,21,-0.676902,-0.111302,0.832517,1
18_37_41_0406, 1,0,ThumbLeft,22,-0.670141,-0.114829,0.828345,1
18_37_41_0406, 1,0,HandTipRight,23,-0.324028,-0.216909,1.052574,2
18_37_41_0406, 1,0,ThumbRight,24,-0.386530,-0.256329,1.118339,2
18_37_41_0440, 2,33,SpineBase,0,-0.598001,-0.425449,1.159466,2
18_37_41_0440, 2,33,SpineMid,1,-0.689667,-0.119545,1.266379,2
18_37_41_0440, 2,33,Neck,2,-0.770494,0.167784,1.356549,2
18_37_41_0440, 2,33,Head,3,-0.863416,0.241425,1.448213,2
18_37_41_0440, 2,33,ShoulderLeft,4,-0.818040,0.097887,1.258373,2
18_37_41_0440, 2,33,ElbowLeft,5,-0.729471,-0.109139,1.087238,2
18_37_41_0440, 2,33,WristLeft,6,-0.656444,-0.126108,0.892586,1
18_37_41_0440, 2,33,HandLeft,7,-0.661117,-0.180676,0.837905,1
18_37_41_0440, 2,33,ShoulderRight,8,-0.681692,0.152519,1.448786,1
18_37_41_0440, 2,33,ElbowRight,9,-0.619381,-0.013547,1.227642,1
18_37_41_0440, 2,33,WristRight,10,-0.412597,-0.178185,1.147109,2
18_37_41_0440, 2,33,HandRight,11,-0.387510,-0.222704,1.130100,2
18_37_41_0440, 2,33,HipLeft,12,-0.648232,-0.422195,1.094003,2
18_37_41_0440, 2,33,KneeLeft,13,-0.563079,-0.152277,0.907972,2
18_37_41_0440, 2,33,AnkleLeft,14,-0.479720,-0.662191,0.848974,1
18_37_41_0440, 2,33,FootLeft,15,-0.514194,-0.579897,0.908266,1
18_37_41_0440, 2,33,HipRight,16,-0.512810,-0.404355,1.159020,2
18_37_41_0440, 2,33,KneeRight,17,-0.397137,-0.185046,0.925614,2
18_37_41_0440, 2,33,AnkleRight,18,-0.574766,-0.634953,1.200136,2
18_37_41_0440, 2,33,FootRight,19,-0.563363,-0.703211,1.151152,1
18_37_41_0440, 2,33,SpineShoulder,20,-0.751789,0.097960,1.336458,2
18_37_41_0440, 2,33,HandTipLeft,21,-0.652049,-0.173752,0.822300,1
18_37_41_0440, 2,33,ThumbLeft,22,-0.645498,-0.176408,0.818110,1
18_37_41_0440, 2,33,HandTipRight,23,-0.348473,-0.228899,1.068986,2
18_37_41_0440, 2,33,ThumbRight,24,-0.395409,-0.239402,1.133965,2
18_37_41_0473, 3,67,SpineBase,0,-0.598002,-0.425737,1.159580,2
18_37_41_0473, 3,67,SpineMid,1,-0.689453,-0.120464,1.266229,2
18_37_41_0473, 3,67,Neck,2,-0.769900,0.166186,1.355956,2
18_37_41_0473, 3,67,Head,3,-0.862260,0.240993,1.446764,2
18_37_41_0473, 3,67,ShoulderLeft,4,-0.817886,0.097923,1.258187,2
18_37_41_0473, 3,67,ElbowLeft,5,-0.747757,-0.095230,1.097246,2
18_37_41_0473, 3,67,WristLeft,6,-0.680921,-0.060430,0.902747,1
18_37_41_0473, 3,67,HandLeft,7,-0.685641,-0.114938,0.848131,1
18_37_41_0473, 3,67,ShoulderRight,8,-0.681299,0.152772,1.448783,1
18_37_41_0473, 3,67,ElbowRight,9,-0.648703,-0.005343,1.215826,1
18_37_41_0473, 3,67,WristRight,10,-0.432905,-0.164299,1.149090,2
18_37_41_0473, 3,67,HandRight,11,-0.427697,-0.203937,1.147072,2
18_37_41_0473, 3,67,HipLeft,12,-0.648214,-0.422457,1.094049,2
18_37_41_0473, 3,67,KneeLeft,13,-0.563633,-0.152346,0.908060,2
18_37_41_0473, 3,67,AnkleLeft,14,-0.479862,-0.661962,0.848912,1
18_37_41_0473, 3,67,FootLeft,15,-0.514190,-0.579667,0.908255,1
18_37_41_0473, 3,67,HipRight,16,-0.512856,-0.404594,1.159104,2
18_37_41_0473, 3,67,KneeRight,17,-0.397465,-0.185273,0.925567,2
18_37_41_0473, 3,67,AnkleRight,18,-0.574936,-0.634905,1.199938,2
18_37_41_0473, 3,67,FootRight,19,-0.559336,-0.690097,1.119872,1
18_37_41_0473, 3,67,SpineShoulder,20,-0.751302,0.096528,1.335971,2
18_37_41_0473, 3,67,HandTipLeft,21,-0.676411,-0.108696,0.832531,1
18_37_41_0473, 3,67,ThumbLeft,22,-0.669652,-0.112257,0.828353,1
18_37_41_0473, 3,67,HandTipRight,23,-0.353495,-0.187988,1.071894,2
18_37_41_0473, 3,67,ThumbRight,24,-0.435078,-0.223014,1.112186,2
18_37_41_0506, 4,100,SpineBase,0,-0.597992,-0.425969,1.159575,2
18_37_41_0506, 4,100,SpineMid,1,-0.689328,-0.121138,1.266003,2
18_37_41_0506, 4,100,Neck,2,-0.769636,0.165233,1.355507,2
18_37_41_0506, 4,100,Head,3,-0.861696,0.240647,1.445857,2
18_37_41_0506, 4,100,ShoulderLeft,4,-0.817747,0.097866,1.257973,2
18_37_41_0506, 4,100,ElbowLeft,5,-0.748167,-0.094928,1.097445,2
18_37_41_0506, 4,100,WristLeft,6,-0.681361,-0.060149,0.903043,1
18_37_41_0506, 4,100,HandLeft,7,-0.686081,-0.114656,0.848427,1
18_37_41_0506, 4,100,ShoulderRight,8,-0.681050,0.153152,1.448798,1
18_37_41_0506, 4,100,ElbowRight,9,-0.652100,-0.003334,1.214442,1
18_37_41_0506, 4,100,WristRight,10,-0.436711,-0.162707,1.147929,2
18_37_41_0506, 4,100,HandRight,11,-0.435464,-0.200121,1.150136,2
18_37_41_0506, 4,100,HipLeft,12,-0.648163,-0.422772,1.094148,2
18_37_41_0506, 4,100,KneeLeft,13,-0.564004,-0.152535,0.908135,2
18_37_41_0506, 4,100,AnkleLeft,14,-0.479926,-0.661877,0.848881,1
18_37_41_0506, 4,100,FootLeft,15,-0.513974,-0.579039,0.908002,1
18_37_41_0506, 4,100,HipRight,16,-0.512902,-0.404784,1.158940,2
18_37_41_0506, 4,100,KneeRight,17,-0.397514,-0.185119,0.925709,2
18_37_41_0506, 4,100,AnkleRight,18,-0.575148,-0.634829,1.199898,2
18_37_41_0506, 4,100,FootRight,19,-0.561696,-0.693750,1.125877,1
18_37_41_0506, 4,100,SpineShoulder,20,-0.751071,0.095630,1.335561,2
18_37_41_0506, 4,100,HandTipLeft,21,-0.676850,-0.108418,0.832828,1
18_37_41_0506, 4,100,ThumbLeft,22,-0.669678,-0.112241,0.828371,1
18_37_41_0506, 4,100,HandTipRight,23,-0.362233,-0.208516,1.075617,2
18_37_41_0506, 4,100,ThumbRight,24,-0.437811,-0.218818,1.140154,2
18_37_41_0539, 5,133,SpineBase,0,-0.598070,-0.426077,1.159538,2
18_37_41_0539, 5,133,SpineMid,1,-0.689292,-0.121553,1.265789,2
18_37_41_0539, 5,133,Neck,2,-0.769375,0.164552,1.355108,2
18_37_41_0539, 5,133,Head,3,-0.861238,0.240362,1.445146,2
18_37_41_0539, 5,133,ShoulderLeft,4,-0.817583,0.097904,1.257689,2
18_37_41_0539, 5,133,ElbowLeft,5,-0.748235,-0.094867,1.097476,2
18_37_41_0539, 5,133,WristLeft,6,-0.681455,-0.060103,0.903157,1
18_37_41_0539, 5,133,HandLeft,7,-0.686175,-0.114609,0.848542,1
18_37_41_0539, 5,133,ShoulderRight,8,-0.680805,0.153588,1.448821,1
18_37_41_0539, 5,133,ElbowRight,9,-0.542796,0.013019,1.297792,1
18_37_41_0539, 5,133,WristRight,10,-0.411263,-0.149938,1.158170,2
18_37_41_0539, 5,133,HandRight,11,-0.382676,-0.229112,1.118963,2
18_37_41_0539, 5,133,HipLeft,12,-0.648193,-0.422868,1.094105,2
18_37_41_0539, 5,133,KneeLeft,13,-0.564583,-0.152343,0.908254,2
